Name;NameDeutsch;Wert;Vorkommen
Abortiporus biennis;Rötender Saftwirrling;kein Speisepilz;selten
Acrospermum compressum;Fadensporiges Flachkeulchen;kein Speisepilz;verbreitet bis häufig
Adelphella babingtonii;Rosabrauner Dickbecherling;kein Speisepilz;verbreitet bis häufig
Agaricus aestivalis;Flüchtigberingter Egerling;essbar;selten
Agaricus altipes;Langstieliger Egerling;kein Speisepilz;selten
Agaricus amanitiformis;Warziggegürtelter Egerling;essbar;selten
Agaricus annae;Schmalstieliger Blutegerling;essbar;selten
Agaricus arvensis;Gemeiner Anisegerling;essbar;verbreitet bis häufig
Agaricus augustus;Braunschuppiger Riesenegerling;essbar;verbreitet bis häufig
Agaricus benesii;Weissschuppiger Blutegerling;essbar;selten
Agaricus bernardiiformis;Bohus-Egerling;essbar;selten
Agaricus bisporus;Zweisporiger Egerling;essbar;verbreitet bis häufig
Agaricus bitorquis;Stadtegerling;essbar;verbreitet bis häufig
Agaricus bresadolanus;Schlaffberingter Wurzelegerling;kein Speisepilz;selten
Agaricus campestris;Wiesenegerling;essbar;verbreitet bis häufig
Agaricus cappellianus;Kompostegerling;jung essbar;verbreitet bis häufig
Agaricus chionodermus;Schneehäutiger Egerling;essbar;selten
Agaricus comtulus;Blasser Zwergegerling;essbar;selten
Agaricus cupreobrunneus;Kupferbrauner Egerling;essbar;selten
Agaricus depauperatus;Geschmückter Egerling;essbar;selten
Agaricus dulcidulus;Weinrötlicher Zwergegerling;essbar;verbreitet bis häufig
Agaricus essettei;Schiefknolliger Anischampignon;essbar;selten
Agaricus fuscofibrillosus;Braunstieliger Blutegerling;kein Speisepilz;selten
Agaricus haemorrhoidarius;Grosser Waldegerling;essbar;verbreitet bis häufig
Agaricus heimii;Frühlingsegerling;Speisepilz;selten
Agaricus impudicus;Braunscheckiger Stinkegerling;kein Speisepilz;selten
Agaricus iodosmus;Mediterraner Jodoformegerling;kein Speisepilz;selten
Agaricus langei;Grosssporiger Blutegerling;essbar;verbreitet bis häufig
Agaricus lanipes;Wollfussegerling;kein Speisepilz;selten
Agaricus leucotrichus;Haarigschuppiger Anisegerling;essbar;selten
Agaricus litoralis;Steppenegerling;essbar;selten
