,date,year,month,day,countryCode,taxonID,phylum,class,order,family,genus,specificEpithet,species,Substrate,Latitude,Longitude,CoorUncert,Habitat,image_path,class_id,genus_id,family_id
0,2003-09-21,2003.0,9.0,21.0,DK,11067.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,bubalinus,Hortiboletus bubalinus,soil,55.711337,9.545209,75.0,park,2238446728-16962.jpg,617,225,17
1,2020-08-24,2020.0,8.0,24.0,DK,11067.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,bubalinus,Hortiboletus bubalinus,soil,55.976416,12.034467,50.0,park,2851432311-284567.jpg,617,225,17
2,2017-10-15,2017.0,10.0,15.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,soil,55.679762,8.588796,16.0,deciduous woodland,2238524241-248818.jpg,711,248,17
3,2018-08-25,2018.0,8.0,25.0,DK,11093.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,reticulatus,Boletus reticulatus,soil,55.811748,9.801247,25.0,roadside,2238550571-253922.jpg,107,39,17
4,2019-06-26,2019.0,6.0,26.0,DK,16090.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,duriusculum,Leccinum duriusculum,soil,55.253637,14.743052,50.0,other habitat,2273187633-40737.jpg,821,274,17
5,2020-10-24,2020.0,10.0,24.0,DK,16116.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,variicolor,Leccinum variicolor,soil,56.188016000000005,10.641578,5.0,deciduous woodland,2898636436-292117.jpg,826,274,17
6,2020-10-16,2020.0,10.0,16.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,soil,55.142951,10.370038,25.0,coniferous woodland,2883263517-365583.jpg,711,248,17
7,2009-09-12,2009.0,9.0,12.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,soil,55.21032,10.12107,100.0,deciduous woodland,2238317313-11589.jpg,824,274,17
8,2019-08-21,2019.0,8.0,21.0,DK,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,soil,56.64816999999999,9.849243,25.0,thorny scrubland,2351008127-340287.jpg,105,39,17
9,2015-08-30,2015.0,8.0,30.0,DK,11091.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,radicans,Caloboletus radicans,soil,54.71939,11.81867,50.0,deciduous woodland,2238422430-164031.jpg,128,54,17
