;Name;Link;Edibility;Family;Location;Dimensions
0;Agaricus arvensis;https://www.mushroom.world/show?n=Agaricus-arvensis;Edible and good;Agaricaceae;North America, Europe;Cap 8-20 cm diameter, stem 8-10 cm tall * 2-3 cm diameter
1;Agaricus augustus;https://www.mushroom.world/show?n=Agaricus-augustus;Edible and good;Agaricaceae;North America, Europe;Cap 10-20 cm diameter, stem 10-20 cm tall * 2-4 cm diameter
2;Albatrellus confluens;https://www.mushroom.world/show?n=Albatrellus-confluens;Inedible;Polyporaceae;North America, Europe;Cap 7-18 cm diameter, stem 3-7 cm tall * 1-3 cm thick
3;Albatrellus ovinus;https://www.mushroom.world/show?n=Albatrellus-ovinus;Edible;Polyporaceae;North America, Europe;Cap 7-18 cm diameter, stem 3-7 cm tall * 1-3 cm thick
4;Amanita ceciliae;https://www.mushroom.world/show?n=Amanita-ceciliae;Inedible;Pluteaceae;North America, Europe;Cap 7-12 cm diameter, stem 8-13 cm tall * 1.5-2 cm diameter
5;Amanita fulva;https://www.mushroom.world/show?n=Amanita-fulva;Inedible;Pluteaceae;North America, Europe;Cap 4-9 cm diameter, stem 7-12 cm tall * 0.8-1.2 cm diameter
6;Amanita muscaria;https://www.mushroom.world/show?n=Amanita-muscaria;Poisonous;Pluteaceae;North America, Europe, Asia;"Cap 8-10 cm diameter; stem 8-18 cm tall * 1-2 cm diameter"
7;Amanita pantherina;https://www.mushroom.world/show?n=Amanita-pantherina;Poisonous;Pluteaceae;North America, Europe, Western Asia;Cap 5-10 cm diameter, stem 8-12 cm tall * 1-1.5 cm diameter
8;Amanita phalloides;https://www.mushroom.world/show?n=Amanita-phalloides;Lethally poisonous;Pluteaceae;North America, Europe;Cap 6-12 cm diameter, stem 7-12 cm tall * 1 - 1.5 cm thick
9;Amanita porphyria;https://www.mushroom.world/show?n=Amanita-porphyria;Poisonous;Pluteaceae;North America, Europe;"Cap 4-10 cm diameter; stem 5-12 cm tall * 1-1.5 cm diameter"
10;Amanita regalis;https://www.mushroom.world/show?n=Amanita-regalis;Poisonous;Pluteaceae;Europe;Cap 5-10 cm diameter, stem 6-12 cm tall * 1.5-2.5 cm thick
11;Amanita rubescens;https://www.mushroom.world/show?n=Amanita-rubescens;Poisonous;Pluteaceae;North America, Europe;Cap 6-15 cm diameter, stem 6-15 cm tall * 1-2.5 cm thick
12;Amanita virosa;https://www.mushroom.world/show?n=Amanita-virosa;Lethally poisonous;Pluteaceae;North America, Europe;Cap 5-9 cm diameter, stem 13-20 cm tall * 1.5-2 cm diameter
13;Armillaria mellea;https://www.mushroom.world/show?n=Armillaria-mellea;Edible;Marasmiaceae;North America, Europe;Cap 3-15 cm diameter, stem 6-15 cm tall * 0.5-1.5 cm thick
14;Auriscalpium vulgare;https://www.mushroom.world/show?n=Auriscalpium-vulgare;Inedible;Auriscalpiaceae;North America, Europe;"Cap 1-2 cm diameter; stem 2-6 cm tall * 0.1-0.2 cm diameter"
15;Bankera fuligineoalba;https://www.mushroom.world/show?n=Bankera-fuligineoalba;Inedible;Bankeraceae;Europe;"Cap 5-10 cm diameter; stem 2-5 cm tall * 0.5-2 cm thick"
16;Boletus badius;https://www.mushroom.world/show?n=Boletus-badius;Edible and good;Boletaceae;North America, Europe;Cap 4-14 cm diameter, stem 4-12 cm tall * 1-4 cm diameter
17;Boletus edulis;https://www.mushroom.world/show?n=Boletus-edulis;Edible and excellent;Boletaceae;North America, Europe and Asia to some degree;"Cap 8–20(30) cm; stem 6-8 cm tall * 2-4 cm diameter"
18;Boletus pinophilus;https://www.mushroom.world/show?n=Boletus-pinophilus;Edible and excellent;Boletaceae;Europe;"Cap 6–15(20) cm; stem 5-15 cm tall * 4-7 cm diameter"
19;Boletus satanas;https://www.mushroom.world/show?n=Boletus-satanas;Lethally poisonous;Boletaceae;North America, Europe;Cap 8-25 cm diameter, stem 6-9 cm tall * 5-10 cm diameter
20;Boletus subtomentosus;https://www.mushroom.world/show?n=Boletus-subtomentosus;Edible;Boletaceae;North America, Europe, Asia, Australia;Cap 5-12 cm diameter, stem 3-8 cm tall * 1-2 cm diameter
21;Bondarzewia berkeleyi;https://www.mushroom.world/show?n=Bondarzewia-berkeleyi;Edible;Russulaceae;Europe, North America, Africa, Asia;Fruiting Body 25-40 cm across
22;Bovista plumbea;https://www.mushroom.world/show?n=Bovista-plumbea;Edible;Lycoperdaceae;Western Europe, California;2-3 cm diameter * 2-3 cm tall
23;Calocera viscosa;https://www.mushroom.world/show?n=Calocera-viscosa;Inedible;Dacryomycetaceae;North America, Europe;3-10 cm tall
24;Calocybe gambosa;https://www.mushroom.world/show?n=Calocybe-gambosa;Edible;Tricholomataceae;Europe and North America;"Cap 5-15 cm diameter; stem 3-7 cm tall x 2-3 cm diameter"
25;Calocybe persicolor;https://www.mushroom.world/show?n=Calocybe-persicolor;Inedible;Tricholomataceae;North America, Europe;Cap 3-5 cm diameter, stem 3-5 cm tall * 0.3-0.8 cm diameter
26;Calvatia gigantea;https://www.mushroom.world/show?n=Calvatia-gigantea;Edible;Lycoperdaceae;North America, Asia and Europe;7-80 cm diameter * 7-80 cm tall
27;Cantharellula umbonata;https://www.mushroom.world/show?n=Cantharellula-umbonata;Edible;Cantharellula;North America, Europe;"cap 2-3 cm dia; stem 2.5-12.5 cm tall * 0.3-0.7 cm dia."
28;Cantharellus cibarius;https://www.mushroom.world/show?n=Cantharellus-cibarius;Edible and excellent;Cantharellaceae;North America, Europe, Bhutan and China;Cap 3-10 cm across, stem 2-10 cm tall * 0.4-1.5 cm thick
29;Chalciporus piperatus;https://www.mushroom.world/show?n=Chalciporus-piperatus;Inedible;Boletaceae;North America, Europe;Cap 3-5 cm diameter, stem 4-6 cm tall * 0.3-1 cm thick
30;Clathrus ruber;https://www.mushroom.world/show?n=Clathrus-ruber;Poisonous;Phallaceae;North America and Europe;Fruiting body 4-10 cm tall * variable diameter
31;Clitocybe clavipes;https://www.mushroom.world/show?n=Clitocybe-clavipes;Inedible;Thricholomataceae;North America, Europe;Cap 4-8 cm diameter, stem 3-7 cm tall * 1-1.5 cm thick
32;Clitocybe gibba;https://www.mushroom.world/show?n=Clitocybe-gibba;Inedible;Thricholomataceae;North America, Europe;Cap 3-8 cm diameter, stem 3-8 cm tall * 0.5-1 cm thick
33;Clitocybe nebularis;https://www.mushroom.world/show?n=Clitocybe-nebularis;Inedible;Tricholomataceae;North America, Europe;Cap 8-20 cm diameter, stem 5-10 cm tall * 1.4-4 cm diameter
34;Clitopilus prunulus;https://www.mushroom.world/show?n=Clitopilus-prunulus;Edible;Entolomataceae;North America, Europe;2-3 cm diameter * 2-3 cm tall
35;Collybia dryophila;https://www.mushroom.world/show?n=Collybia-dryophila;Inedible;Tricholomataceae;North America, Europe;Cap 2-6 cm diameter, stem 2-6 cm tall * 0.2-0.5 cm diameter
36;Coltricia perennis;https://www.mushroom.world/show?n=Coltricia-perennis;Inedible;Hymenochaetaceae;North America, Europe;Cap 2-8 cm diameter, stem 0.2-1 cm thick * 1.3-3.5 cm tall
37;Conocybe apala;https://www.mushroom.world/show?n=Conocybe-apala;Inedible;Bolbitiaceae;North America and Europe;Cap 0.8-1.5 cm diameter, stem 3-6 cm tall * 0.2-0.3 cm thick
38;Coprinopsis atramentaria;https://www.mushroom.world/show?n=Coprinopsis-atramentaria;Poisonous;Coprinaceae;North America, Europe;Cap 3-7 cm tall * variable diameter, stem 7-14 cm tall * 1-1.5 cm thick
39;Coprinus comatus;https://www.mushroom.world/show?n=Coprinus-comatus;Edible and good;Coprinaceae;North America, Europe, South America;Cap 5-15 cm tall * variable diameter, stem 10-30 cm tall * 1.5-2.5 cm thick
40;Coprinus plicatilis;https://www.mushroom.world/show?n=Coprinus-plicatilis;Inedible;Coprinaceae;North America, Europe;"Cap 0.8–2 cm; stem 4-8 cm tall * 1-2 mm diameter"
41;Cortinarius alboviolaceus;https://www.mushroom.world/show?n=Cortinarius-alboviolaceus;Inedible;Cortinariaceae;North America, Europe;Cap 5-8 cm diameter, stem 5-12 cm tall * 1-2 cm thick
42;Cortinarius armillatus;https://www.mushroom.world/show?n=Cortinarius-armillatus;Inedible;Cortinariaceae;North America, Europe;Cap 4-12 cm diameter, stem 6-12 cm tall * 1-3 cm thick
43;Cortinarius caperatus;https://www.mushroom.world/show?n=Cortinarius-caperatus;Edible and good;Cortinariaceae;North America, Europe, East Asia;Cap 5-12 cm diameter, stem 4-10 cm tall * 1-1.5 cm thick
44;Cortinarius collinitus;https://www.mushroom.world/show?n=Cortinarius-collinitus;Inedible;Cortinariaceae;North America, Europe;Cap 6-10 cm diameter, stem 7-12 cm tall, 1-2.5 cm thick
45;Cortinarius croceus;https://www.mushroom.world/show?n=Cortinarius-croceus;Inedible;Cortinariaceae;Europe;"Cap 1.5 - 3 cm diameter; stem 2.5 - 8.5 cm tall x 0.3-0.5 cm diameter"
46;Cortinarius laniger;https://www.mushroom.world/show?n=Cortinarius-laniger;Inedible;Cortinariaceae;North America, Europe;Cap 3-8 cm diameter, stem 6-10 cm tall * 1-2 cm thick
47;Cortinarius malicorius;https://www.mushroom.world/show?n=Cortinarius-malicorius;Inedible;Cortinariaceae;North America, Europe;Cap 1.5-5 cm diameter, stem 2-7 cm tall * 0.6-1.2 cm diameter
48;Cortinarius mucosus;https://www.mushroom.world/show?n=Cortinarius-mucosus;Inedible;Cortinariaceae;Europe;Cap 6-10 cm diameter, stem 6-10 cm tall * 1-2.5 cm thick
49;Cortinarius orellanus;https://www.mushroom.world/show?n=Cortinarius-orellanus;Lethally poisonous;Cortinariaceae;North America, Europe;Cap 3-7 cm diameter, stem 3-8 cm tall * 0.5-1.3 cm diameter
50;Cortinarius rubellus;https://www.mushroom.world/show?n=Cortinarius-rubellus;Lethally poisonous;Cortinariaceae;Europe and parts of Asia;Cap 3-8 cm diameter, stem 5-11 cm tall * 0.8-1.5 cm diameter
51;Cortinarius semisanguineus;https://www.mushroom.world/show?n=Cortinarius-semisanguineus;Poisonous;Cortinariaceae;North America, Europe;Cap 2-6 cm diameter, stem 2-10 cm tall * 0.4-1 cm thick
52;Cortinarius traganus;https://www.mushroom.world/show?n=Cortinarius-traganus;Inedible;Cortinariaceae;North America, Europe;Cap 5-8 cm diameter, stem 5-12 cm tall, 0.6-1.2 cm thick
53;Craterellus tubaeformis;https://www.mushroom.world/show?n=Craterellus-tubaeformis;Edible and good;Cantharellaceae;North America, Europe;"Cap 1.5-6 cm dia; stem 3-8 cm tall * 0.4-0.9 cm dia."
54;Cystoderma amianthinum;https://www.mushroom.world/show?n=Cystoderma-amianthinum;Inedible;Thricholomataceae;North America, Europe;Cap 2-5 cm diameter, stem 3-5 cm tall * 0.4-0.8 cm thick
55;Entoloma sericeum;https://www.mushroom.world/show?n=Entoloma-sericeum;Inedible;Entolomataceae;North America, Europe;Cap 2-4 cm diameter, stem 2-7 cm tall * 0.15-0.5 cm thick
56;Entoloma vernum;https://www.mushroom.world/show?n=Entoloma-vernum;Inedible;Entolomataceae;North America, Europe;Cap 2-4 cm diameter, stem 2-7 cm tall * 0.2-0.6 cm thick
57;Galerina marginata;https://www.mushroom.world/show?n=Galerina-marginata;Lethally poisonous;Cortinariaceae;Europe, North America, Asia and Australia;Cap 2.5-6.5 cm diameter, stem 3-9 cm tall * 0.3-0.8 cm diameter
58;Gomphidius glutinosus;https://www.mushroom.world/show?n=Gomphidius-glutinosus;Edible;Gomphidiaceae;North America, Europe;Cap 3-5 cm diameter, stem 2.5-4.5 cm tall * 0.4-1 cm thick
59;Gyromitra esculenta;https://www.mushroom.world/show?n=Gyromitra-esculenta;Lethally poisonous;Discinaceae;North America, Europe;5-15 cm diameter, 5-12 cm tall, including stem
60;Gyromitra infula;https://www.mushroom.world/show?n=Gyromitra-infula;Poisonous;Discinaceae;North America, Europe;2-8 cm diameter, 2-13 cm tall, including stem
61;Hebeloma crustuliniforme;https://www.mushroom.world/show?n=Hebeloma-crustuliniforme;Poisonous;Bolbitiaceae;North America, Europe;Cap 2-10 cm diameter, stem 4-7 cm tall * 1-2 cm thick
62;Hebeloma mesophaeum;https://www.mushroom.world/show?n=Hebeloma-mesophaeum;Poisonous;Bolbitiaceae;North America, Europe;Cap 2.5-4.5 cm diameter, stem 4-7 cm tall * 0.3-0.4 cm thick
63;Hericium erinaceus;https://www.mushroom.world/show?n=Hericium-erinaceus;Edible;Hericiaceae;North America, Europe and Asia;Body 8–16 cm across, spines 1-5 cm long
64;Hortiboletus rubellus;https://www.mushroom.world/show?n=Hortiboletus-rubellus;Inedible;Boletaceae;Europe, Eastern United States;"Cap 6 cm; stem 7,5 cm tall * 1-3 cm diameter"
65;Hydnum repandum;https://www.mushroom.world/show?n=Hydnum-repandum;Edible and excellent;Hydnaceae;North America, Europe;"Cap 3-10 cm diameter; stem 2-6 cm tall * 1.5-3 cm diameter"
